section,code,answer1,answer2,answer3,correct
Simple operations,3 + 10,13,,,1
Simple operations,3 = 10,error,,,1
Simple operations,3 == 10,error,False,,1
Simple operations,2 ** 10,20000000000,1024,,1
Simple operations,'3 + 10',,,error,0
Simple operations,3 * '10',error,30,,0
Simple operations,a*10,aaaaaaaaaa,error,,1
Simple operations,'a' * 10,aaaaaaaaaa,,,1
Simple operations,int('3') + int('10'),13,,,1
Simple operations,int('hello world'),hello world,error,,1
Simple operations,10 / 5,2,error,2.0,1
Simple operations,int(10 / 5),2,,,1
Simple operations,10 / 4,2.2,2.222,2.333,0
Simple operations,10 // 4,2,,,1
Simple operations,int(10/4),3,2,,1
Simple operations,int(10)/4,2.5,,,1
Simple operations,"type(""True"")",True,bool,boolean,0
Simple operations,type(True),bool,,,1
